rule_id,module,source,description
mh-05,l3_meihua.py,《梅花易数·体用生克》+四季旺衰,体用生克五态+旺衰加权
mh-06,l3_meihua.py,规则启发式（I-7 非神断）,断事接口
qm-01,l3_qimen.py,《奇门遁甲统宗》72 局口诀+张志春《神奇之门》拆补法,定局：节气→阴阳遁/上中下/局数
qm-02,l3_qimen.py,三奇六仪布九宫（阳顺阴逆）,三奇六仪排布
qm-03,l3_qimen.py,星随干转（天禽随芮）,九星落宫
qm-04,l3_qimen.py,门随时转（值使数宫，门整体平移）,八门落宫
qm-05,l3_qimen.py,值符随星余沿环排（中宫无神）,八神落宫
qm-06,l3_qimen.py,《奇门遁甲统宗》旬首隐仪（甲子戊…甲寅癸）,值符值使：旬首/六仪
qd-01,l3_qimen_duanju.py,《奇门遁甲统宗》用神篇,用神容器（qd-01-01..04 具体判定）
qd-01-01,l3_qimen_duanju.py,《奇门遁甲统宗》用神篇,用神：日干类象
qd-01-02,l3_qimen_duanju.py,《奇门遁甲统宗》用神篇,用神：时干类象
qd-01-03,l3_qimen_duanju.py,《奇门遁甲统宗》用神篇,用神：落宫与门神星
qd-01-04,l3_qimen_duanju.py,《奇门遁甲统宗》用神篇,用神：方位与时空（九宫断事）
qd-02,l3_qimen_duanju.py,《烟波钓叟歌》《奇门遁甲统宗》格局口诀,格局判定容器（qd-g-/qd-x- 表驱动）
qd-03,l3_qimen_duanju.py,格局吉凶+用神组合规则,吉凶初步容器（qd-03-01 具体判定）
qd-03-01,l3_qimen_duanju.py,格局吉凶+用神组合规则,吉凶初步（规则启发式）
qd-g-01,l3_qimen_duanju.py,《烟波钓叟歌》·戊加丙,青龙返首（吉）
qd-g-01b,l3_qimen_duanju.py,用神落宫汇总（并入格局清单作主宫信息）,用神落宫汇总条目
qd-g-02,l3_qimen_duanju.py,《烟波钓叟歌》·丙加戊,飞鸟跌穴（吉）
qd-g-03,l3_qimen_duanju.py,《奇门遁甲统宗》三遁,天遁（吉）
qd-g-04,l3_qimen_duanju.py,《奇门遁甲统宗》三遁,地遁（吉）
qd-g-05,l3_qimen_duanju.py,《奇门遁甲统宗》三遁,人遁（吉）
qd-g-06,l3_qimen_duanju.py,《奇门遁甲统宗》三遁,神遁（吉）
qd-g-07,l3_qimen_duanju.py,《奇门遁甲统宗》三遁,鬼遁（吉）
qd-g-08,l3_qimen_duanju.py,《奇门遁甲统宗》·玉女守门,玉女守门（吉）
qd-g-09,l3_qimen_duanju.py,《奇门遁甲统宗》·三奇升殿,三奇升殿（吉）
qd-g-10,l3_qimen_duanju.py,《奇门遁甲统宗》·天乙三奇,天乙三奇（吉）
qd-g-11,l3_qimen_duanju.py,《奇门遁甲统宗》三诈,真诈（吉）
qd-g-12,l3_qimen_duanju.py,《奇门遁甲统宗》三诈,休诈（吉）
qd-g-13,l3_qimen_duanju.py,《奇门遁甲统宗》三诈,重诈（吉）
qd-g-14,l3_qimen_duanju.py,《奇门遁甲统宗》五假,天假（吉）
qd-g-15,l3_qimen_duanju.py,《奇门遁甲统宗》五假,地假（吉）
qd-g-16,l3_qimen_duanju.py,《奇门遁甲统宗》五假,人假（吉）
qd-g-17,l3_qimen_duanju.py,《奇门遁甲统宗》五假,神假（吉）
qd-g-18,l3_qimen_duanju.py,《奇门遁甲统宗》五假,鬼假（吉）
qd-x-01,l3_qimen_duanju.py,《奇门遁甲统宗》·伏吟,直符伏吟（凶）
qd-x-01b,l3_qimen_duanju.py,九星伏吟（直符伏吟补充条目）,九星伏吟（凶）
qd-x-02,l3_qimen_duanju.py,《奇门遁甲统宗》·反吟,九星反吟（凶）
qd-x-03,l3_qimen_duanju.py,《奇门遁甲统宗》·伏吟,八门伏吟（凶）
qd-x-04,l3_qimen_duanju.py,《奇门遁甲统宗》·反吟,八门反吟（凶）
qd-x-05,l3_qimen_duanju.py,《奇门遁甲统宗》·六仪击刑,六仪击刑（凶）
qd-x-06,l3_qimen_duanju.py,《奇门遁甲统宗》·三奇入墓,三奇入墓（凶）
qd-x-07,l3_qimen_duanju.py,《奇门遁甲统宗》·悖格,悖格（凶）
qd-x-08,l3_qimen_duanju.py,《奇门遁甲统宗》·荧惑入白,荧惑入白（凶）
qd-x-09,l3_qimen_duanju.py,《奇门遁甲统宗》·太白入荧,太白入荧（凶）
qd-x-10,l3_qimen_duanju.py,《奇门遁甲统宗》·青龙逃走,青龙逃走（凶）
qd-x-11,l3_qimen_duanju.py,《奇门遁甲统宗》·白虎猖狂,白虎猖狂（凶）
qd-x-12,l3_qimen_duanju.py,《奇门遁甲统宗》·朱雀入江,朱雀入江（凶）
qd-x-13,l3_qimen_duanju.py,《奇门遁甲统宗》·蛇夭矫,蛇夭矫（凶）
qd-x-14,l3_qimen_duanju.py,《奇门遁甲统宗》·大格,大格（凶）
qd-x-15,l3_qimen_duanju.py,《奇门遁甲统宗》·上格,上格（凶）
qd-x-16,l3_qimen_duanju.py,《奇门遁甲统宗》·刑格,刑格（凶）
qd-x-17,l3_qimen_duanju.py,《奇门遁甲统宗》·月格,月格（凶）
qd-x-18,l3_qimen_duanju.py,《奇门遁甲统宗》·天乙飞宫,天乙飞宫（凶）
qd-x-19,l3_qimen_duanju.py,《奇门遁甲统宗》·天乙伏宫,天乙伏宫（凶）
qd-x-20,l3_qimen_duanju.py,《奇门遁甲统宗》·戏格,戏格（凶）
qd-x-21,l3_qimen_duanju.py,《奇门遁甲统宗》·地网遮蔽,地网遮蔽（凶）
qd-x-22,l3_qimen_duanju.py,《奇门遁甲统宗》·天网四张,天网四张（凶）
qd-x-23,l3_qimen_duanju.py,《奇门遁甲统宗》·五不遇时,五不遇时（凶）
qd-x-24,l3_qimen_duanju.py,《奇门遁甲统宗》·门迫,门迫（凶）
qd-x-25,l3_qimen_duanju.py,《奇门遁甲统宗》·时格,时格（凶）
qd-x-26,l3_qimen_duanju.py,《奇门遁甲统宗》·风遁,风遁（凶）
ss-00,l3_shensha.py,《渊海子平》《三命通会》（ss-01..23 容器）,神煞聚合容器
ss-01,l3_shensha.py,《三命通会·论天乙贵人》（易安居实测口径）,天乙贵人
ss-02,l3_shensha.py,民间口诀（据《协纪辨方书》日表类整理）,文昌贵人
ss-03,l3_shensha.py,《渊海子平·论咸池》,桃花（咸池）
ss-04,l3_shensha.py,《渊海子平·论驿马》,驿马
ss-05,l3_shensha.py,《渊海子平·论华盖》,华盖
ss-06,l3_shensha.py,《渊海子平·论羊刃》,羊刃
ss-07,l3_shensha.py,《渊海子平·论将星》,将星
ss-08,l3_shensha.py,《渊海子平·论禄》,禄神
ss-09,l3_shensha.py,《三命通会·论金舆》,金舆
ss-10,l3_shensha.py,民间口诀（据《协纪辨方书》嫁娶类整理）,红鸾
ss-11,l3_shensha.py,民间口诀（红鸾对宫，据《协纪辨方书》整理）,天喜
ss-12,l3_shensha.py,《渊海子平·论孤辰寡宿》,孤辰
ss-13,l3_shensha.py,《渊海子平·论孤辰寡宿》,寡宿
ss-14,l3_shensha.py,《三命通会·论国印》,国印
ss-15,l3_shensha.py,《渊海子平·论劫煞》,劫煞
ss-16,l3_shensha.py,《渊海子平·论亡神》,亡神
ss-17,l3_shensha.py,《渊海子平·论灾煞》,灾煞
ss-18,l3_shensha.py,《渊海子平·论天罗地网》（日干五行论）,天罗
ss-19,l3_shensha.py,《渊海子平·论天罗地网》（日干五行论）,地网
ss-20,l3_shensha.py,《渊海子平·论魁罡》,魁罡
ss-21,l3_shensha.py,《渊海子平·论天德贵人》,天德贵人
ss-22,l3_shensha.py,《渊海子平·论月德贵人》,月德贵人
ss-23,l3_shensha.py,《三命通会·论十恶大败》,十恶大败
ws-01,l3_wangshuai.py,《三命通会·论五行旺相休囚死》（月支=m1 r4，本气=canggan.csv）,月令旺衰（旺相休囚死）
ws-02,l3_wangshuai.py,data/changsheng.csv 十二长生表,得地：四支十二长生分段计分
ws-03,l3_wangshuai.py,rules.py 五行关系（比劫=同、印=生我）,得势：天干+藏干清点
ws-04,l3_wangshuai.py,权重 得令40/得地35/得势25（《子平真诠》专求月令）,综合五级判定+扶抑结论
wylq-01,l3_wuyunliuqi.py,《素问·天元纪大论》天干化运+《五常政大论》十纪,岁运（中运）：天干化运与太过不及
wylq-02,l3_wuyunliuqi.py,《六微旨大论》六步,《类经》注初之气起于大寒,主气六步
wylq-03,l3_wuyunliuqi.py,《五运行大论》地支化气（司天在泉）,客气六步：司天/在泉
wylq-04,l3_wuyunliuqi.py,《素问·六微旨大论》天符/岁会/太一天符+《六元正纪大论》同天符/同岁会,运气相合
wylq-05,l3_wuyunliuqi.py,solar_terms.csv 定气中气时刻,六气节点（大寒/春分/小满/大暑/秋分/小雪）
xlr-01,l3_xiaoliuren.py,data/shuowang.csv 朔日表 + ganzhi_days.csv,农历月日时转化（30 日循环，23 点子初归次日）
xlr-02,l3_xiaoliuren.py,通行口诀六宫掌诀（木派主表；水派异文）,六宫掌诀与五行
xlr-03,l3_xiaoliuren.py,通行口诀逐宫顺数,月/日/时三宫顺数推演
xlr-04,l3_xiaoliuren.py,通行口诀要点整理（异文存见）,断事（规则启发式）
zw-01,l3_ziwei.py,m1 真太阳时/时辰/年柱 + shuowang.csv 农历,农历日与年柱时辰基座
zw-02,l3_ziwei.py,命宫=寅起正月顺数生月逆数生时（身宫顺数）,命宫身宫
zw-03,l3_ziwei.py,命宫干支纳音（nayin.csv）→五行局,五行局
zw-04,l3_ziwei.py,紫微定位口诀（寅起子时顺数生时）,紫微落宫
zw-05,l3_ziwei.py,紫微星系偏移口诀+天府星系顺逆（中州派底本）,十四主星排布
zw-06,l3_ziwei.py,辅星表（左辅右弼=月系星随闰月顺延）,辅星排布（左辅右弼/文昌文曲/天魁天钺/禄存/擎羊陀罗/火铃/天马）
zw-07,l3_ziwei.py,生年干四化表,四化（禄权科忌）
zl-01,l3_ziwei_liunian.py,《紫微斗数全书》大限起法（阳男阴女顺行）,大限
zl-02,l3_ziwei_liunian.py,小限起法（男寅午戌…），斗君前一年,小限
zl-03,l3_ziwei_liunian.py,流年干支（shuowang.csv 年号+m1 立春）,流年干支与四化
zl-04,l3_ziwei_liunian.py,《紫微斗数全书》卷二·安斗君诀,斗君（流年正月建）
